city,temperatur,TOW_freque,aermr02_kg,prec_mm_43,uvb_jm2_43,wet_monthl
Bangkok,0.91272,0.37652,0.09423,0.37446,0.55354,0.27798
Lima,0.79413,0.28512,0.08906,0.00996,0.48984,0.54136
Santiago,0.71609,0.02405,0.00738,0.26567,0.30032,0.00772
Kinshasa,0.85912,0.24278,0.00470,0.01777,0.44919,0.17469
Jakarta,0.89529,0.21841,0.01952,0.30483,0.50794,0.13117
Ho Chi Minh City,0.90060,0.39545,0.05848,0.81429,0.53043,0.84537
Dhaka,0.90602,0.44740,0.10611,0.98718,0.47824,0.70926
Beijing,0.86577,0.08659,0.00238,0.21672,0.55816,0.02778
Delhi,0.95353,0.00000,0.03750,0.13448,0.65661,0.00000
Karachi,0.93544,0.10584,0.34314,0.03048,0.66949,0.30556
Houston,0.89326,0.40314,0.04812,0.36714,0.62391,0.43272
Pudong,0.85637,0.38101,0.02912,0.45921,0.42649,0.63086
Suzhou,0.85999,0.53303,0.02386,0.43706,0.42852,0.36358
Songjiang,0.85866,0.49102,0.02552,0.45692,0.41868,0.59053
Geoje,0.82288,0.41565,0.03075,0.69102,0.54407,0.46667
Felling,0.75167,0.61770,0.07919,0.14357,0.49963,0.44918
Dammam,0.95777,0.00000,0.01129,0.00000,0.73384,0.00000
Florida 1,0.89042,0.31495,0.03791,0.69424,0.64284,0.46214
Florida 2,0.88883,0.42431,0.03969,0.70044,0.60790,0.45648
Phoenix,0.91023,0.00000,0.01443,0.01256,0.84240,0.00000
Sanary,0.81745,0.02598,0.06592,0.08674,0.72217,0.01389
Plymouth,0.76489,0.54554,0.09413,0.16861,0.58736,0.73056
Ruco Grande,0.79484,0.51251,0.04604,0.18000,0.61963,0.44074
Sunderland,0.74753,0.62636,0.08410,0.15221,0.50584,0.47037
Bangalore,0.87163,0.00000,0.10784,0.18119,0.51182,0.00000
Melbourne,0.72533,0.72707,0.07810,0.11183,0.17103,0.39074
Willawong,0.77407,0.51860,0.06595,0.14067,0.28525,0.26512
