city,temperatur,TOW_freque,aermr02_kg,prec_mm_43,uvb_jm2_43,wet_monthl
Bangkok,0.93761,0.18806,0.04786,0.03790,0.62825,0.10736
Lima,0.87137,0.26348,0.06029,0.00371,0.73880,0.82562
Santiago,0.84645,0.00000,0.01131,0.01071,0.87931,0.00000
Kinshasa,0.91778,0.35655,0.00898,0.38326,0.62843,0.78296
Jakarta,0.92228,0.12709,0.04444,0.83187,0.60208,0.95635
Ho Chi Minh City,0.92657,0.12709,0.08813,0.01135,0.66439,0.13095
Dhaka,0.85448,0.10398,0.00576,0.06480,0.54990,0.12500
Beijing,0.57057,0.00000,0.00754,0.00921,0.35519,0.00000
Delhi,0.79847,0.47657,0.00521,0.03798,0.51091,0.24735
Karachi,0.84034,0.11650,0.02651,0.04040,0.58494,0.05820
Houston,0.74501,0.51990,0.04951,0.22143,0.38798,0.62136
Pudong,0.65018,0.64121,0.08033,0.15556,0.33045,0.54001
Suzhou,0.63856,0.51990,0.05492,0.15690,0.33455,0.58201
Songjiang,0.64822,0.59499,0.06668,0.14763,0.33015,0.58322
Geoje,0.61825,0.20796,0.05957,0.15340,0.37742,0.07143
Felling,0.63572,0.59499,0.20073,0.11272,0.14423,0.45690
Dammam,0.80075,0.09820,0.02313,0.04661,0.56237,0.03373
Florida 1,0.83232,0.52407,0.07019,0.14339,0.50369,0.43695
Florida 2,0.82484,0.46791,0.06993,0.14992,0.48113,0.37897
Phoenix,0.74589,0.25128,0.03207,0.10935,0.47843,0.09226
Sanary,0.68956,0.23395,0.14818,0.16201,0.28049,0.10119
Plymouth,0.65332,0.62388,0.28670,0.25235,0.17650,0.45833
Ruco Grande,0.70921,0.21983,0.14263,0.26056,0.25210,0.07959
Sunderland,0.63340,0.58922,0.21499,0.13210,0.14523,0.44444
Bangalore,0.87660,0.00000,0.00928,0.00635,0.70603,0.00000
Melbourne,0.84337,0.11906,0.11961,0.11839,0.72626,0.04090
Willawong,0.89498,0.05584,0.14622,0.48821,0.67554,0.02745
