city,temperatur,TOW_freque,aermr02_kg,prec_mm_43,uvb_jm2_43,wet_monthl
Bangkok,0.95979,0.27529,0.05055,0.09031,0.77177,0.10315
Lima,0.88506,0.15856,0.05547,0.00353,0.76500,0.94285
Santiago,0.84303,0.00000,0.00701,0.01714,0.77681,0.00000
Kinshasa,0.93053,0.64656,0.00822,0.51219,0.66800,0.59050
Jakarta,0.93734,0.47471,0.02270,0.61291,0.72438,0.75388
Ho Chi Minh City,0.94821,0.12451,0.07737,0.02385,0.79580,0.04152
Dhaka,0.92367,0.31518,0.01678,0.16480,0.68709,0.14068
Beijing,0.70179,0.00000,0.00592,0.02593,0.52237,0.00000
Delhi,0.88588,0.00097,0.00460,0.04060,0.68652,0.00060
Karachi,0.90919,0.05350,0.04209,0.01778,0.75353,0.03286
Houston,0.82345,0.42023,0.06755,0.19464,0.50241,0.39636
Pudong,0.73741,0.59339,0.06558,0.18595,0.47739,0.26523
Suzhou,0.73449,0.40370,0.04462,0.16806,0.46550,0.14576
Songjiang,0.73834,0.54345,0.05468,0.18808,0.46958,0.22242
Geoje,0.71799,0.15759,0.04913,0.24753,0.54474,0.04839
Felling,0.70207,0.43450,0.20088,0.15170,0.24434,0.29112
Dammam,0.86571,0.06064,0.01735,0.06000,0.67519,0.01862
Florida 1,0.87533,0.20006,0.07587,0.14478,0.65982,0.13799
Florida 2,0.86936,0.18093,0.07787,0.18079,0.62908,0.14785
Phoenix,0.80363,0.11381,0.03154,0.12462,0.69282,0.03495
Sanary,0.75234,0.10506,0.14450,0.12963,0.45853,0.03226
Plymouth,0.71671,0.56907,0.23742,0.21408,0.30147,0.49194
Ruco Grande,0.75976,0.40272,0.12653,0.27750,0.40071,0.15243
Sunderland,0.69973,0.40272,0.21130,0.16653,0.24706,0.27419
Bangalore,0.92159,0.00000,0.00861,0.01365,0.82402,0.00000
Melbourne,0.84373,0.04442,0.10246,0.10129,0.57978,0.06282
Willawong,0.89703,0.50778,0.12604,0.33579,0.60657,0.42563
