X,Y,city,CNTRY_NAME,POP,POP_RANK,max_dtw
100.5166714,13.75000192,Bangkok,Thailand,8305218,1,0.3992
-77.0450036,-12.08199594,Lima,Peru,9562280,1,0.40401
-70.64751555,-33.47502305,Santiago,Chile,6748000,1,0.40433
15.29900134,-4.320998992,Kinshasa,"Congo, DRC",12322000,1,0.40875
106.8000034,-6.16666505,Jakarta,Indonesia,9607787,1,0.41586
106.6624564,10.75918497,Ho Chi Minh City,Vietnam,8535000,1,0.43674
90.40714232,23.70991494,Dhaka,Bangladesh,8906035,1,0.46225
116.3880364,39.90618905,Beijing,China,20781000,1,0.46923
77.21666144,28.66666502,Delhi,India,11034555,1,0.4767
67.02800433,24.89300098,Karachi,Pakistan,14910352,1,0.4977
-95.473686,29.854837,Houston,,,,
121.6141,31.2581,Pudong,,,,
120.4915,31.3445,Suzhou,,,,
121.275147,31.034702,Songjiang,,,,
128.617934,34.914093,Geoje,,,,
-1.558534,54.956952,Felling,,,,
49.977817,26.246104,Dammam,,,,
-80.4998,25.4595,Florida 1,,,,
-80.45,25.866667,Florida 2,,,,
-112.133333,33.9,Phoenix,,,,
5.839905,43.134999,Sanary,,,,
-4.134525,50.351486,Plymouth,,,,
-3.8295,43.487528,Ruco Grande,,,,
-1.357583,54.902333,Sunderland,,,,
77.824323,13.11605,Bangalore,,,,
144.829227,-37.770229,Melbourne,,,,
153.002489,-27.604014,Willawong,,,,
