fid,X,Y,CITY_NAME,CNTRY_NAME,POP,POP_RANK,max_dtw
"1","-56.0930036752727","-15.6150000711535",Cuiaba,Brazil,"540814","3","0.43203"
"2","-47.8977476573594","-15.7921109430588",Brasilia,Brazil,"2481272","2","0.4491"
"3","-49.2550016031605","-16.7270039245648",Goiania,Brazil,"1297154","2","0.38854"
"4","-54.6159956592778","-20.4509970534418",Campo Grande,Brazil,"776242","3","0.47544"
"5","-55.7479977164346","-22.5330030669473",Pedro Juan Caballero,Paraguay,"0","0","0.47692"
"6","-54.2833016846732","-24.0499980578648",Salto del Guaira,Paraguay,"0","0","0.47202"
"7","-54.6229976038596","-25.5269969722584",Puerto Presidente Stroessner,Paraguay,"0","0","0.50709"
"8","-55.8510026890448","-27.3770010186671",Encarnacion,Paraguay,"0","0","0.51917"
"9","-55.9060016795821","-27.3979980817788",Posadas,Argentina,"371896","4","0.51917"
"10","-69.191999562595","-12.6029970756788",Puerto Maldonado,Peru,"0","0","0.35048"
"11","-71.98700367047","-13.5260010491837",Cuzco,Peru,"428450","4","0.51857"
"12","-72.8839975843797","-13.6420019499903",Abancay,Peru,"0","0","0.44236"
"13","-70.0340035875686","-15.845003988551",Puno,Peru,"128637","5","0.45758"
"14","-71.5229995707925","-16.3980000700735",Arequipa,Peru,"1080635","2","0.5303"
"15","-68.1462446098306","-16.4990069929844",La Paz,Bolivia,"2143000","2","0.53364"
"16","-176.151563636364","-13.2732990621432",Mata-Utu,Wallis & Futuna,"0","0",
"17","-171.739493590236","-13.8370229528312",Apia,Samoa,"37391","7","0.46343"
"18","-170.697860669935","-14.2683749752899",Pago Pago,American Samoa,"3656","7","0.4524"
"19","-149.570009699675","-17.5349969205116",Papeete,French Polynesia,"25763","7","0.4905"
"20","-169.916669572892","-19.0166669421493",Alofi,Niue,"639","7","0.48215"
"21","-175.245650649682","-21.1309020566411",Nuku' alofa,Tonga,"35184","7",
"22","-159.766694593311","-21.2333040067977",Avarua,Cook Is.,"0","0",
"23","-130.103000556447","-25.0659990487314",Adamstown,Pitcairn Is.,"49","7",
"24","-72.7019996490552","-45.4020029326915",Puerto Aisen,Chile,"0","0","0.55361"
